model,order,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,boiled_potato_slices,2,0.1,94.0,0.0,108.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1953175307694629,0.18,0.3315079365079365,0.08928105721335373,0.06,0.3446031471854814,0.03194888178913738,0.03514376996805112,0.03354632587859425
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,boiled_corn_slices,2,0.1,108.0,0.0,118.9,0.0,0.0,0.0,0.0,0.0,0.0,0.31800589736190743,0.3,0.46825396825396826,0.24751294054031067,0.25690465157330256,0.39180957010903267,0.04642857142857143,0.11428571428571428,0.08035714285714285
Qwen_Qwen3-32B_Qwen_Qwen3-4B,boiled_green_bean_slices,2,0.5,70.8,29.294368059406914,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.29389274221725453,0.4800000000000001,0.21028860028860027,0.2276124852128477,0.34871191548325386,0.16921309891217773,0.0970873786407767,0.1553398058252427,0.1262135922330097
Qwen_Qwen3-32B_Qwen_Qwen3-4B,boiled_potato_slices,2,0.7,56.42857142857143,25.822786962886333,76.2,0.0,0.0,0.0,0.0,0.0,0.0,0.41342887120519195,0.6,0.32554029304029297,0.26077080664341784,0.36878177829171555,0.21628040049688624,0.1694915254237288,0.23728813559322035,0.2033898305084746
Qwen_Qwen3-32B_Qwen_Qwen3-4B,baked_pumpkin_slices,2,0.4,55.25,31.299960063872287,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3584698926895561,0.5800000000000001,0.2682789432789433,0.21553263274303872,0.38418745424597095,0.16750257325634332,0.13178294573643412,0.17829457364341086,0.15503875968992248
Qwen_Qwen3-32B_Qwen_Qwen3-4B,boiled_corn_slices,2,0.1111111111111111,75.0,0.0,115.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.26783346393234875,0.2666666666666667,0.31005291005291,0.23105509775653,0.21081851067789195,0.3236339739235876,0.5571428571428572,0.6428571428571429,0.6000000000000001
Qwen_Qwen3-8B_Qwen_Qwen3-32B,baked_pumpkin_slices,2,0.9,56.55555555555556,26.331692400819172,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.38557506091199145,0.5399999999999999,0.30141414141414147,0.19601101227161116,0.2537715508089904,0.16029746746127604,0.10112359550561797,0.1348314606741573,0.11797752808988764
Qwen_Qwen3-8B_Qwen_Qwen3-32B,boiled_green_bean_slices,2,0.5,56.2,19.394844675841053,88.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3159591431337632,0.36,0.2925,0.26170771709198803,0.3072458299147443,0.23518462015096894,0.03225806451612903,0.12903225806451613,0.08064516129032258
Qwen_Qwen3-8B_Qwen_Qwen3-32B,boiled_corn_slices,2,0.3,48.0,17.663521732655695,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.36773013315148234,0.45999999999999996,0.3543345543345543,0.2595915576917744,0.3352610922848042,0.2881480359324148,0.08661417322834646,0.10236220472440945,0.09448818897637795
Qwen_Qwen3-8B_Qwen_Qwen3-32B,boiled_potato_slices,2,0.7,40.42857142857143,9.839528775841465,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37917452930798856,0.54,0.2858585858585859,0.2549286280042728,0.35832945734337834,0.1941943820363718,0.08333333333333333,0.11666666666666667,0.1
