model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,level_4,0.02,23.2,0.0,119.94000000000001,0.04731834809721524,0.06,0.047850586611456136,0.0723909453171493,0.08848140132030471,0.0761652788663224,0.11700870484581025,0.10222222222222217,0.20981512697604648,0.10432521453199013,0.08901595778407896,0.22559946557336463,0.15069850552306688,0.19583901884340477,0.1732687621832358
Qwen_Qwen3-14B_Qwen_Qwen3-14B,level_2,0.3,53.729166666666664,22.2313877452097,100.65,0.0,0.0,0.0,0.0,0.0,0.0,0.2597105295338189,0.32,0.22986237373737367,0.2675892391588358,0.32817105657071444,0.2430399966858785,0.08133077355856545,0.0848926015155547,0.08311168753706008
Qwen_Qwen3-14B_Qwen_Qwen3-14B,level_4,0.47111111111111115,80.02000000000001,18.881658604750225,101.27555555555554,0.05758369670790971,0.08416666666666667,0.04490785117874898,0.07709625093688863,0.11165007629752485,0.0615749765889515,0.12926834369127804,0.1545679012345679,0.12397173828716598,0.12641845542110391,0.16497916772538151,0.12057136811001865,0.04132672367192488,0.08340409848149784,0.06236541107671136
Qwen_Qwen3-14B_Qwen_Qwen3-32B,level_2,0.675,47.270535714285714,20.911393080162732,71.6,0.0,0.0,0.0,0.0,0.0,0.0,0.29258105654786803,0.375,0.2523387723387723,0.2756869795731207,0.3525121412461167,0.24485964967741694,0.07674643962359477,0.10748132973348487,0.09211388467853981
Qwen_Qwen3-14B_Qwen_Qwen3-32B,level_4,0.49111111111111116,76.00571428571428,14.24276556117637,93.63777777777777,0.0392737968143048,0.056666666666666664,0.030908093375675322,0.07352216028063602,0.10148310451433076,0.06009474845205994,0.14476934240863054,0.17802469135802465,0.1330018286311389,0.15904691901856288,0.20810098728711823,0.14493234737512428,0.03979788860033542,0.08755065465562947,0.06367427162798243
Qwen_Qwen3-14B_Qwen_Qwen3-4B,level_2,0.42500000000000004,47.20833333333333,19.434912156244955,88.82499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.3579431273432805,0.505,0.29550478524743223,0.20525777469392054,0.2953382791067741,0.17980620083154158,0.1532580028574738,0.24434548403289957,0.1988017434451867
Qwen_Qwen3-14B_Qwen_Qwen3-8B,level_2,0.275,56.166666666666664,22.334077365484905,103.35,0.0,0.0,0.0,0.0,0.0,0.0,0.16352830807649785,0.245,0.13402514735497922,0.19932241916196047,0.2871158006329514,0.17561217312149155,0.1082479380276854,0.1843424220078967,0.14629518001779104
Qwen_Qwen3-14B_Qwen_Qwen3-8B,level_4,0.34500000000000003,67.16,15.286896033036692,101.715,0.061016768674528196,0.09125,0.0474988461232908,0.08161550996041547,0.11676956618715369,0.0667076708757797,0.1123422584576651,0.15777777777777774,0.11503477227078285,0.09359205863911949,0.14380218318876267,0.10479801760746252,0.053721252937280764,0.09886075339037007,0.0762910031638254
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,level_2,0.05,8.125,2.125,115.675,0.0,0.0,0.0,0.0,0.0,0.0,0.2631928076931921,0.215,0.5512310606060605,0.1680480078434196,0.1472660935219975,0.39553792186526565,0.056575301187448454,0.05270349616775372,0.05463939867760105
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,level_4,0.02,15.6,0.0,119.17999999999999,0.02411190869352438,0.030000000000000006,0.030417692170501137,0.05238686205278338,0.07009093454535911,0.06610120196386784,0.1149482503204448,0.0955555555555555,0.2745915616641422,0.11393180219761671,0.0910715870565793,0.35273467993405877,0.18155363391936277,0.19817782388114863,0.18986572890025571
