recipe,model_combination,fuzzy_hierarchy,no_hierarchy,clear_hierarchy,avg_interactions,avg_sampled,avg_processing_time_seconds,success_reasons,agent_0_roles,agent_1_roles,total_outcomes
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,9,0,1,379.9,17.1,33.2,No specific reasons,"[0, 1]",[0],10
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,8,0,2,100.7,18.0,45.04,No specific reasons,"[1, 0]",[0],10
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,10,0,0,96.4,16.9,29.94,No specific reasons,[0],[0],10
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,9,0,1,109.3,17.1,33.03,No specific reasons,"[0, 1]",[0],10
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-8B,8,0,2,48.1,17.4,41.56,No specific reasons,"[1, 0]",[0],10
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,10,0,0,266.1,16.4,35.2,No specific reasons,[0],[0],10
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-14B,9,0,1,82.8,18.0,38.24,No specific reasons,[0],"[0, 1]",10
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-32B,8,0,2,152.6,18.0,42.18,No specific reasons,"[0, 1]",[0],10
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-4B,9,0,1,91.4,15.9,31.2,No specific reasons,"[0, 1]",[0],10
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-8B,9,0,1,75.9,17.5,30.69,No specific reasons,"[0, 1]",[0],10
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0,231.3,16.7,36.39,No specific reasons,[0],[0],10
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-14B,9,0,1,71.7,18.0,30.21,No specific reasons,"[0, 1]",[0],10
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-32B,9,0,1,182.8,18.0,45.87,No specific reasons,"[0, 1]",[0],10
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,9,0,1,75.6,16.5,41.09,No specific reasons,"[1, 0]",[0],10
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-8B,9,0,1,122.3,16.9,63.9,No specific reasons,"[0, 1]",[0],10
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,10,0,0,270.5,18.0,40.58,No specific reasons,[0],[0],10
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-14B,8,0,2,79.8,17.1,37.79,No specific reasons,"[1, 0]",[0],10
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-32B,9,0,1,95.3,18.0,36.22,No specific reasons,"[0, 1]",[0],10
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-4B,10,0,0,53.2,16.4,31.94,No specific reasons,[0],[0],10
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-8B,9,0,1,69.4,18.0,33.55,No specific reasons,"[0, 1]",[0],10
