model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-4B_Qwen_Qwen3-4B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10512142022210924,0.24000000000000005,0.06850540724164736,0.04718175282622426,0.07954305456474502,0.034582002612457065,0.05992350621659426,0.11703439275697018,0.08847894948678223
Qwen_Qwen3-4B_Qwen_Qwen3-4B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09557873907111608,0.1528963713631905,0.07621818315720262,0.0355240461354917,0.049763861247203264,0.04050012219738368,0.09357835432974285,0.07673226270088468,0.08515530851531378
Qwen_Qwen3-4B_Qwen_Qwen3-4B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06926129661271596,0.06869387755102038,0.08116257784568391,0.035525706558612744,0.025696860067836003,0.058352608775281166,0.22201783835497868,0.09097183194539178,0.15649483515018522
Qwen_Qwen3-4B_Qwen_Qwen3-8B,level_1,0.08222222222222222,0.0,0.0,102.0,0.31183680903384026,0.3803205128205128,0.3557176581893401,0.16273941867675829,0.16819456676446035,0.24399172691556412,0.1366681598159146,1.0,0.07076847110330439,0.04507227722175082,0.0,0.02600215123530364,0.06083877940074513,0.06387830985864604,0.0623585446296956
Qwen_Qwen3-4B_Qwen_Qwen3-8B,level_2,0.0,0.0,0.0,120.0,0.00619848173850715,0.003846153846153825,0.019230769230769225,0.0214721706017645,0.013323467750529824,0.06661733875264912,0.12142743268785722,0.5548076923076923,0.06578346881659078,0.07740139754861818,0.3672204339337517,0.0419281996682571,0.05725720597925087,0.09273075713922727,0.07499398155923907
Qwen_Qwen3-4B_Qwen_Qwen3-8B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09290344330871236,0.30487394957983194,0.05315706833431302,0.07737561777635196,0.25289506231709447,0.044373846257466536,0.04985287203549884,0.07368854805385036,0.061770710044674604
Qwen_Qwen3-4B_Qwen_Qwen3-8B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06398493511317735,0.12377860235003088,0.04287504655829632,0.044269570831884965,0.08889486001779083,0.030143455573720564,0.058184752794387215,0.04807733962552852,0.05313104620995788
Qwen_Qwen3-4B_google_gemma-3-12b-it,level_2,0.0,0.0,0.0,120.0,0.023297820230222876,0.01666666666666665,0.04166666666666665,0.03294809334331145,0.023570226039551573,0.05892556509887895,0.33377199748628594,1.0,0.20449057475547855,0.10482425774289222,0.0,0.08590857023993445,0.10080891330891327,0.0963319088319088,0.09857041107041102
Qwen_Qwen3-4B_google_gemma-3-4b-it,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.10416666666666667
Qwen_Qwen3-4B_nvidia_AceReason-Nemotron-14B,level_2,0.16666666666666666,0.0,0.0,115.66666666666667,0.44488989036427545,0.39999999999999997,0.5731481481481481,0.07298191942276937,0.06666666666666668,0.15831863517054537,0.23396513758787352,1.0,0.12664737435488047,0.0088267366491877,0.0,0.005484442868061333,0.08693244739756363,0.08693244739756363,0.08693244739756363
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,level_1,0.29333333333333333,0.0,0.0,88.8,0.29488851679369066,0.30533333333333335,0.28870995670995664,0.4374960135425024,0.45179908336710406,0.43124236089881984,0.6390262651494438,0.6833333333333333,0.7658333333333334,0.11095003590105426,0.23993559359565225,0.27298922806951154,0.25759187625989255,0.19216597652765427,0.22487892639377338
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26183772502035024,0.1892583120204604,0.6421766532700035,0.091529947507207,0.08847118458645606,0.32196627864735017,0.3042902733972424,0.11823413747144543,0.21126220543434393
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2448842350607933,0.16821428571428568,0.7782906746031746,0.04351476638691178,0.05671119800911728,0.29545277652759216,0.15187800946968485,0.06150185472055906,0.10668993209512197
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12766246738983703,0.07607142857142853,0.805779761904762,0.041957368040958856,0.029717809166605918,0.26682756295218163,0.146341965672136,0.0688209135537861,0.1075814396129611
Qwen_Qwen3-8B_Qwen_Qwen3-14B,level_1,1.0,0.0,0.0,24.2,0.9584243063102381,1.0,0.9316305916305916,0.08039691680318409,0.0,0.12980777593262047,0.5968683317081858,1.0,0.4517793481028775,0.1964957810349924,0.0,0.23028055975269118,0.42349140844007327,0.5293598648614648,0.476425636650769
Qwen_Qwen3-8B_Qwen_Qwen3-14B,level_2,0.43394648829431437,0.0,0.0,111.25,0.37579366246569684,0.4623745819397993,0.3291146806092458,0.3747963084534686,0.4525835400930009,0.34225915582560307,0.3100680466589495,0.9826086956521739,0.1859767085353625,0.13273165877188953,0.0815724479969292,0.10619221876571824,0.11551748523291314,0.19015374795949092,0.15283561659620204
Qwen_Qwen3-8B_Qwen_Qwen3-14B,level_3,0.25,0.0,0.0,120.0,0.3305780607517391,0.3561111111111111,0.31952965880027895,0.3727244540246446,0.40052336845749775,0.35994386891366925,0.2728965352436937,0.7828571428571429,0.16176115016874587,0.12122094244169934,0.22203383887468003,0.08248535625704502,0.11977360582723087,0.16424262339100834,0.14200811460911958
Qwen_Qwen3-8B_Qwen_Qwen3-14B,level_5,0.0,0.0,0.0,120.0,0.1188859621451868,0.11728049728049728,0.1356885641686983,0.15793242792815115,0.15474984142078002,0.1941882835318604,0.19748151393870156,0.3935786435786436,0.12894982427636076,0.08501164389701191,0.15600928626076663,0.05867455175754142,0.16378408798932775,0.1662927572264641,0.16503842260789595
Qwen_Qwen3-8B_Qwen_Qwen3-32B,level_1,1.0,0.0,0.0,28.8,1.0,1.0,1.0,0.0,0.0,0.0,0.6384759986633444,1.0,0.5099128257363551,0.2331594742477993,0.0,0.2875710938889936,0.40732432318639217,0.5709862773131139,0.489155300249753
Qwen_Qwen3-8B_Qwen_Qwen3-32B,level_2,0.85,0.0,0.0,73.25,0.8359841183175925,0.865,0.8171279761904762,0.2626208329159716,0.25611192452539644,0.27228274706941524,0.5664950269394287,1.0,0.44011522091176397,0.25989014833129004,0.0,0.2952545865166142,0.14739256412149426,0.22641213444073705,0.18690234928111565
Qwen_Qwen3-8B_Qwen_Qwen3-32B,level_3,0.7,0.0,0.0,76.6,0.7997374586583235,0.7933333333333333,0.8252168746286394,0.3337588123812921,0.346394785537059,0.33144601342693025,0.5198775176957086,0.9342857142857144,0.38158583217584174,0.21610382526437352,0.11388633348408925,0.2188403566933455,0.14675150510546547,0.1974168655604299,0.1720841853329477
Qwen_Qwen3-8B_Qwen_Qwen3-32B,level_5,0.0,0.0,0.0,120.0,0.2766071225165178,0.2538461538461538,0.342462278949121,0.21857880070962446,0.2049504856491894,0.28399675749279224,0.2729754462550127,0.5328571428571428,0.17797686834983956,0.0632985325055148,0.09625656135068572,0.04492155000548126,0.21353239402215052,0.17566885136259566,0.1946006226923731
Qwen_Qwen3-8B_Qwen_Qwen3-4B,level_1,0.7345454545454546,0.0,0.0,64.4,0.7494791316201391,0.7487878787878788,0.7553463203463203,0.2471541524461458,0.24631203525512343,0.2521302698184743,0.3932018983535087,0.8416666666666666,0.26811892609070365,0.18160333267510725,0.18154692919779758,0.1528100401619445,0.3461618476456953,0.1435794680944575,0.24487065787007642
Qwen_Qwen3-8B_Qwen_Qwen3-4B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07341603984959082,0.21600000000000003,0.044588743993324034,0.025152160265365143,0.04800000000000002,0.0195143753668173,0.053196771250076824,0.03690340617565078,0.04505008871286378
