model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-01.7B_Qwen_Qwen3-01.7B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19826520348896000,0.1309523809523810,0.7442279942279940,0.05302938212583540,0.02061965247105800,0.29852481705447100,0.1847604485219160,0.0979782534828406,0.1413693510023790
Qwen_Qwen3-01.7B_Qwen_Qwen3-01.7B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11234733656053600,0.06666666666666660,0.7619047619047620,0.024381876304908200,0.017817416127494900,0.12417528390862200,0.14915013575467900,0.0764885893016353,0.1128193625281570
Qwen_Qwen3-01.7B_Qwen_Qwen3-14.0B,level_1,0.26666666666666700,0.0,0.0,71.0,0.5667184135365990,0.6,0.5475000000000000,0.26280731480918200,0.28979042259228000,0.24684918918887600,0.2152467838269870,1.0,0.13710828339347300,0.15284313983015100,0.0,0.12846070392451100,0.02746009802689460,0.06978132461983160,0.04862071132336310
Qwen_Qwen3-01.7B_Qwen_Qwen3-14.0B,level_3,0.0,0.0,0.0,120.0,0.0251453872587893,0.0185185185185185,0.04166666666666670,0.03556094769250350,0.0261891400439462,0.05892556509887900,0.25497230599654400,0.7142857142857140,0.1546939282167680,0.053883123855661800,0.11664236870396100,0.03559483376008460,0.0584751418084751,0.08258258258258260,0.07052886219552880
Qwen_Qwen3-01.7B_Qwen_Qwen3-14.0B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15247485936534900,0.23809523809523800,0.11180006955548700,0.11430992984848000,0.19010233509269600,0.0780100188026994,0.0258832923015503,0.054195222569698500,0.04003925743562450
Qwen_Qwen3-01.7B_Qwen_Qwen3-32.0B,level_1,0.06666666666666670,0.0,0.0,87.33333333333330,0.3906542268297060,0.4577777777777780,0.3466137566137570,0.08654644569219220,0.0967466945269535,0.08433877653345900,0.1770349688706360,1.0,0.10095593013560300,0.0755882487200342,0.0,0.0591408388100123,0.04773662551440320,0.052674897119341500,0.05020576131687240
Qwen_Qwen3-01.7B_Qwen_Qwen3-32.0B,level_3,0.0,0.0,0.0,120.0,0.0320205335353025,0.0185185185185185,0.16666666666666700,0.04528387280004740,0.0261891400439462,0.23570226039551600,0.23303209253776400,0.7142857142857140,0.13484415042612800,0.0170853295461093,0.0,0.01300184645969210,0.040686274509803800,0.0848039215686274,0.06274509803921560
Qwen_Qwen3-01.7B_Qwen_Qwen3-32.0B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23636208223639400,0.3952380952380950,0.16388316488940000,0.07363313143070360,0.12079575135263200,0.05170313987795240,0.11805555555555600,0.12134502923976600,0.1197002923976610
Qwen_Qwen3-01.7B_Qwen_Qwen3-04.0B,level_1,0.0,0.0,0.0,120.0,0.36493011130538500,0.2888888888888890,0.5555555555555560,0.18207275621030300,0.1571348402636770,0.15713484026367700,0.21354673787327200,1.0,0.11486961181233600,0.025653849227999900,0.0,0.015311322639582700,0.07169249752539010,0.02634950982386200,0.04902100367462600
Qwen_Qwen3-01.7B_Qwen_Qwen3-04.0B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07588201245488920,0.1428571428571430,0.05022932437658510,0.00691059706804655,0.0,0.006380269552099500,0.06860269360269360,0.0147306397306397,0.0416666666666666
Qwen_Qwen3-01.7B_Qwen_Qwen3-04.0B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06355527698448100,0.0714285714285714,0.05935280380412820,0.004514323827467230,0.0,0.007401434920058770,0.03939810189810190,0.014710983460983400,0.02705454267954260
Qwen_Qwen3-01.7B_Qwen_Qwen3-08.0B,level_1,0.0,0.0,0.0,120.0,0.3875558032333800,0.4666666666666670,0.39986772486772500,0.0390901840092156,0.0,0.051694241574456400,0.13130487048690700,1.0,0.06703647037536540,0.0094205636288492,0.0,0.005085661511988570,0.03096490968544520,0.06861032097909680,0.049787615332271000
Qwen_Qwen3-01.7B_Qwen_Qwen3-08.0B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055991634235102600,0.1785714285714290,0.03233793265152990,0.02484911933649350,0.06185895741317420,0.015155464399496700,0.0184617132469893,0.0368666212224494,0.02766416723471940
Qwen_Qwen3-01.7B_Qwen_Qwen3-08.0B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09413914858396060,0.19047619047619000,0.06258248757786210,0.04238747249685330,0.0890870806374748,0.0275903439284369,0.032845510563380300,0.0958406690140845,0.06434308978873240
Qwen_Qwen3-14.0B_Qwen_Qwen3-00.6B,level_1,0.75,0.0,0.0,117.0,0.75,0.75,0.75,0.25,0.25,0.25,0.8270711630377060,0.875,0.7916666666666670,0.1928469967927540,0.21650635094611000,0.1816207893141950,0.7661246612466130,0.0455284552845528,0.40582655826558300
Qwen_Qwen3-14.0B_Qwen_Qwen3-00.6B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21796387796920700,0.1428571428571430,0.6597222222222220,0.012744813278189200,0.0,0.18682059560489300,0.35735713703432000,0.009498189102004170,0.18342766306816200
Qwen_Qwen3-14.0B_Qwen_Qwen3-00.6B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12536445580831600,0.0714285714285714,0.8888888888888890,0.00325083568800055,0.0,0.15713484026367700,0.24832526795712700,0.009493481043033050,0.12890937450008000
Qwen_Qwen3-14.0B_Qwen_Qwen3-01.7B,level_1,0.29166666666666700,0.0,0.0,120.0,0.29166666666666700,0.29166666666666700,0.29166666666666700,0.4522086113416260,0.4522086113416260,0.4522086113416260,0.6279756365453240,0.6458333333333330,0.8287037037037040,0.09898172442733790,0.2261043056708130,0.2554927639563270,0.33365508365508400,0.2851512226512230,0.3094031531531530
Qwen_Qwen3-14.0B_Qwen_Qwen3-01.7B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22797282558574800,0.16071428571428600,0.6883928571428570,0.050034665229335200,0.03092947870658710,0.37285113851939800,0.14225719932241700,0.17180735930735900,0.15703227931488800
Qwen_Qwen3-14.0B_Qwen_Qwen3-01.7B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1003782776948160,0.0595238095238095,0.6180555555555560,0.035028112028858,0.0168358757425368,0.38829181394253300,0.25959408208478800,0.12247005369681900,0.1910320678908040
Qwen_Qwen3-14.0B_Qwen_Qwen3-14.0B,level_1,1.0,0.0,0.0,21.5,0.9468374935571760,1.0,0.9047619047619050,0.03759156881059480,0.0,0.06734350297014740,0.7246712037484600,1.0,0.6083333333333330,0.16275804233850100,0.0,0.21248477461704600,0.5607142857142860,0.7321428571428570,0.6464285714285710
Qwen_Qwen3-14.0B_Qwen_Qwen3-14.0B,level_3,0.3055555555555560,0.0,0.0,101.0,0.3580233929298450,0.38271604938271600,0.3398586707410240,0.263433495602033,0.2679754733876300,0.260544725382794,0.38837801633650100,0.9682539682539680,0.2410857827947080,0.09150821753758410,0.0448956686467649,0.0704202486163681,0.25117724867724900,0.21738095238095200,0.2342791005291010
Qwen_Qwen3-14.0B_Qwen_Qwen3-14.0B,level_5,0.0,0.0,0.0,120.0,0.1322918066755730,0.14615384615384600,0.127889966650996,0.12180697053151800,0.13808481755857500,0.12265368545914900,0.19421011940309800,0.4107142857142860,0.12302422419702400,0.07770824067047420,0.1545779760686140,0.05067751738345940,0.21547885518473700,0.16695073165661400,0.19121479342067600
Qwen_Qwen3-14.0B_Qwen_Qwen3-32.0B,level_1,1.0,0.0,0.0,19.666666666666700,1.0,1.0,1.0,0.0,0.0,0.0,0.5801006760045460,1.0,0.4231481481481480,0.15407105000358900,0.0,0.1719131873168240,0.5956140350877190,0.6789473684210530,0.6372807017543860
Qwen_Qwen3-14.0B_Qwen_Qwen3-32.0B,level_3,1.0,0.0,0.0,57.333333333333300,1.0000000000000000,1.0,1.0,7.40148683083438E-17,0.0,0.0,0.5645060136573480,0.9682539682539680,0.4239417989417990,0.13928649333754500,0.0448956686467649,0.1659446297708540,0.33452126395818500,0.32549299120931300,0.3300071275837490
Qwen_Qwen3-14.0B_Qwen_Qwen3-32.0B,level_5,0.0,0.0,0.0,120.0,0.36099400758387500,0.39743589743589700,0.3470609183844480,0.0587274899138396,0.0362618862146947,0.099044388047665,0.26766323259247700,0.5,0.17874189133779900,0.03298326849725340,0.0,0.0315846284485274,0.17276674937965300,0.16718362282878400,0.16997518610421800
Qwen_Qwen3-14.0B_Qwen_Qwen3-04.0B,level_1,1.0,0.0,0.0,24.5,1.0,1.0,1.0,0.0,0.0,0.0,0.6432682618912670,1.0,0.4685714285714290,0.0621565812181096,0.0,0.06771957651288060,0.3549679487179490,0.16346153846153800,0.25921474358974400
Qwen_Qwen3-14.0B_Qwen_Qwen3-04.0B,level_3,0.25,0.0,0.0,51.0,0.2500000000000000,0.25,0.25,0.4330127018922190,0.4330127018922190,0.4330127018922190,0.1804450680508050,0.3928571428571430,0.1155884767700180,0.1923493873124680,0.3553526561095070,0.1260883675460290,0.3033175355450240,0.1563981042654030,0.2298578199052130
Qwen_Qwen3-14.0B_Qwen_Qwen3-04.0B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429117142436414,0.0833333333333333,0.028903318903318900,0.00897839696230725,0.0168358757425368,0.00693842151813635,0.13096971461852100,0.0837216074548631,0.10734566103669200
Qwen_Qwen3-14.0B_Qwen_Qwen3-08.0B,level_1,1.0,0.0,0.0,25.333333333333300,0.9785502079619730,1.0,0.9666666666666670,0.04289958407605470,0.0,0.06666666666666670,0.4875214736762940,1.0,0.3333333333333330,0.12276142993711800,0.0,0.1338021888969830,0.2907239819004530,0.39668174962292600,0.34370286576168900
Qwen_Qwen3-14.0B_Qwen_Qwen3-08.0B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034845969392853800,0.1428571428571430,0.018996982925700400,0.00333029826470055,0.0,0.00209649684770245,0.08732646663681150,0.07501119570085090,0.08116883116883110
Qwen_Qwen3-14.0B_Qwen_Qwen3-08.0B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07803369153902080,0.1309523809523810,0.0560226127488032,0.0671632664692533,0.0841793787126842,0.05278484735576710,0.12207490999723100,0.0866622819163666,0.10436859595679900
Qwen_Qwen3-32.0B_Qwen_Qwen3-00.6B,level_1,0.75,0.0,0.0,88.0,0.75,0.75,0.75,0.25,0.25,0.25,0.6695632798573980,0.75,0.625,0.3304367201426030,0.25,0.375,0.7913265306122450,0.0347789115646258,0.4130527210884350
Qwen_Qwen3-32.0B_Qwen_Qwen3-00.6B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22639479684781200,0.1428571428571430,0.7916666666666670,0.01262087229204440,0.0,0.15590239111558100,0.362448958888128,0.01026740047511560,0.1863581796816220
Qwen_Qwen3-32.0B_Qwen_Qwen3-00.6B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1276631437678240,0.0714285714285714,1.0,0.0,0.0,0.0,0.2741751704954840,0.00868395918162165,0.1414295648385530
Qwen_Qwen3-32.0B_Qwen_Qwen3-01.7B,level_1,1.0,0.0,0.0,19.333333333333300,1.0,1.0,1.0,0.0,0.0,0.0,0.6541947740814190,1.0,0.4844444444444440,0.07795225523072710,0.0,0.09141461593511870,0.4100952007494060,0.3851948674378580,0.39764503409363200
Qwen_Qwen3-32.0B_Qwen_Qwen3-01.7B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557203013980350,0.17460317460317500,0.7925925925925930,0.021139008623626600,0.022447834323382400,0.010475656017578500,0.2924420024420020,0.040666463166463100,0.16655423280423300
Qwen_Qwen3-32.0B_Qwen_Qwen3-01.7B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1245513007630850,0.0714285714285714,0.9,0.0053898701893857,0.0,0.1732050807568880,0.0723131106566689,0.0255423232687758,0.0489277169627223
Qwen_Qwen3-32.0B_Qwen_Qwen3-14.0B,level_1,1.0,0.0,0.0,31.666666666666700,0.8817187404281720,1.0,0.8042328042328040,0.026581253221412300,0.0,0.047619047619047600,0.5597897193558270,1.0,0.4226190476190480,0.11789778987207200,0.0,0.1456598382573360,0.4227513227513230,0.49894179894179900,0.46084656084656100
